Provincia,Departamento,Jardines,Población Jardin,Primarias,Población Primaria,Secundarios,Población Secundaria
Chaco,Sargento Cabral,0.0,961.0,14.0,2286.0,29.0,1912.0
Chaco,General Donovan,0.0,747.0,13.0,1794.0,16.0,1513.0
Chaco,Presidencia De La Plaza,0.0,756.0,11.0,1853.0,16.0,1510.0
Chaco,Libertad,2.0,714.0,11.0,1682.0,12.0,1357.0
Chaco,1º De Mayo,1.0,760.0,8.0,1810.0,12.0,1262.0
Chaco,2 De Abril,0.0,407.0,8.0,895.0,17.0,768.0
Chaco,General Belgrano,1.0,771.0,5.0,1698.0,13.0,1470.0
Chaco,Tapenaga,0.0,207.0,5.0,505.0,10.0,442.0
Chubut,Escalante,25.0,9406.0,72.0,25207.0,62.0,20255.0
Chubut,Rawson,23.0,5876.0,65.0,15641.0,49.0,13427.0
Chubut,Biedma,15.0,4374.0,30.0,12244.0,27.0,10407.0
Chubut,Futaleufu,10.0,2036.0,26.0,5702.0,28.0,4656.0
Chubut,Cushamen,6.0,1171.0,22.0,3216.0,26.0,2710.0
Chubut,Gaiman,2.0,540.0,10.0,1396.0,9.0,1244.0
Chubut,Sarmiento,2.0,769.0,9.0,1995.0,8.0,1510.0
Chubut,Rio Senguer,1.0,305.0,8.0,746.0,9.0,517.0
Chubut,Gastre,0.0,52.0,5.0,108.0,5.0,97.0
Chubut,Languineo,1.0,141.0,5.0,297.0,5.0,269.0
Chubut,Tehuelches,0.0,267.0,4.0,754.0,5.0,546.0
Chubut,Telsen,0.0,60.0,3.0,167.0,4.0,151.0
Chubut,Paso De Indios,1.0,76.0,2.0,191.0,3.0,147.0
Chubut,Martires,0.0,43.0,1.0,74.0,2.0,54.0
Chubut,Florentino Ameghino,0.0,103.0,1.0,221.0,1.0,157.0
Ciudad Autónoma de Buenos Aires,Ciudad Autonoma De Buenos Aires,426.0,87535.0,885.0,236991.0,893.0,210663.0
Corrientes,Capital,43.0,19680.0,134.0,47808.0,95.0,40759.0
Corrientes,Goya,3.0,4959.0,80.0,12729.0,95.0,11020.0
Corrientes,Esquina,0.0,2117.0,50.0,4809.0,58.0,4256.0
Corrientes,Santo Tome,4.0,3709.0,46.0,9454.0,49.0,7725.0
Corrientes,Curuzu Cuatia,0.0,2522.0,44.0,6209.0,51.0,5270.0
Corrientes,San Luis Del Palmar,0.0,1037.0,40.0,2392.0,44.0,2129.0
Corrientes,Bella Vista,1.0,2328.0,37.0,5598.0,37.0,4349.0
Corrientes,Lavalle,1.0,2407.0,37.0,5545.0,39.0,4384.0
Corrientes,Mercedes,3.0,2649.0,36.0,6120.0,39.0,4682.0
Corrientes,Monte Caseros,0.0,2277.0,32.0,5486.0,39.0,4434.0
Corrientes,Paso De Los Libres,2.0,2964.0,31.0,7451.0,35.0,6405.0
Corrientes,General Paz,0.0,798.0,29.0,1916.0,32.0,1636.0
Corrientes,Ituzaingo,0.0,2033.0,29.0,4878.0,34.0,4073.0
Corrientes,Saladas,0.0,1455.0,28.0,3566.0,28.0,3134.0
Corrientes,Empedrado,0.0,877.0,27.0,2041.0,39.0,1795.0
Corrientes,Concepcion,1.0,1534.0,26.0,3721.0,34.0,3145.0
Corrientes,San Roque,0.0,1145.0,24.0,2726.0,28.0,2356.0
Corrientes,San Cosme,0.0,902.0,22.0,2191.0,22.0,1708.0
Corrientes,San Martin,0.0,819.0,17.0,1980.0,25.0,1694.0
Corrientes,San Miguel,0.0,718.0,15.0,1758.0,17.0,1480.0
Corrientes,Sauce,0.0,529.0,14.0,1251.0,18.0,1114.0
Corrientes,Mburucuya,0.0,510.0,13.0,1317.0,17.0,1230.0
Corrientes,Itati,0.0,637.0,12.0,1491.0,13.0,1164.0
