ID_CC,Nombre,Capacidad,ID_DEPTO
108,Club Cultural Malvinas Argentinas,s/d,112.0
218,Club Cultural Matienzo,400.0,112.0
202,Club De Musica,139.0,112.0
820,Club Gimnasia y Esgrima,s/d,81.0
55,Club Premier,451.0,112.0
368,Club Reconquista de Suipacha,s/d,37.0
537,Club Social Maipu,s/d,297.0
774,Club Social Parana,s/d,338.0
955,Club Social Villa Constitución,s/d,125.0
124,Club Social Y Deportivo Yupanqui,200.0,112.0
1010,Club Social y Cultural QueTePasa,s/d,397.0
679,Club Social y Deportivo Agua de Oro,200.0,115.0
414,Club Tri,184.0,199.0
344,Club de Circo Kamaj Pacha,100.0,37.0
487,Colectivo Arte al Ataque ,s/d,257.0
851,Colectivo Cultural y Comunitario del Monte,s/d,146.0
452,Colibrí arte y cultura platense,120.0,257.0
666,Comarca de Creadores,s/d,76.0
1055,Comedor Cultural San Jose Solidario,s/d,510.0
81,Complejo Artmedia,s/d,112.0
911,Complejo Auditorio Juan Victoria,976.0,78.0
532,Complejo Cultural Banfield Teatro Ensamble,250.0,286.0
959,Complejo Cultural Las Toscas,s/d,193.0
741,Complejo Cultural Provincial Guido Miranda,s/d,419.0
224,Complejo Cultural Sanidad,s/d,112.0
942,Complejo Cultural Santa Cruz,s/d,221.0
233,Comunes,s/d,112.0
575,Comunidad Contemporanea,s/d,370.0
139,Congo Club Cultural,150.0,112.0
79,Conservatorio Grassi Urquiza,50.0,112.0
362,Cooperativa Cimarrón de Comunicación y Cultura,s/d,37.0
273,Cooperativa Cultural Qi,100.0,112.0
595,Cooperativa Las Canaletas,s/d,440.0
